,overall_qual,year_built,year_remod/add,mas_vnr_area,neighborhood,total_bsmt_sf,totrms_abvgrd,gr_liv_area,full_bath,garage_area,kitchen_qual,saleprice
0,6,34,5,289.0,3,725.0,6,1479,2,475.0,4,130500
1,7,14,13,132.0,3,913.0,8,2122,2,559.0,4,220000
2,5,57,3,0.0,3,1057.0,5,1057,1,246.0,4,109000
3,5,4,3,0.0,5,384.0,7,1444,2,400.0,3,174000
4,6,110,17,0.0,3,676.0,6,1445,2,484.0,3,138500
5,6,44,8,0.0,3,1517.0,6,1888,2,578.0,4,190000
6,6,5,4,82.0,1,547.0,5,1072,2,525.0,3,140000
7,5,51,51,180.0,3,1188.0,6,1188,1,531.0,3,142000
8,5,58,58,0.0,1,924.0,6,924,1,420.0,3,112500
9,5,41,41,192.0,3,1040.0,9,2080,1,504.0,2,135000
10,6,39,39,232.0,1,483.0,4,987,1,264.0,3,85400
11,7,5,5,0.0,3,1208.0,6,1208,2,632.0,4,183600
12,5,130,3,0.0,3,0.0,7,2016,1,576.0,3,131000
13,8,11,10,456.0,5,960.0,7,1607,2,480.0,4,200000
14,7,3,3,0.0,3,1351.0,6,1361,2,610.0,4,193000
15,5,6,5,0.0,3,1430.0,7,1430,2,624.0,4,173500
16,5,94,60,0.0,1,624.0,7,1344,1,513.0,3,98000
17,5,47,47,0.0,3,1121.0,5,1121,1,480.0,3,139000
18,6,33,33,148.0,3,660.0,7,1285,1,528.0,3,143500
19,7,1,1,0.0,5,756.0,7,1547,2,614.0,4,215200
20,5,42,42,0.0,3,894.0,5,894,1,450.0,3,129000
21,8,10,10,0.0,5,1501.0,5,1659,2,499.0,5,278000
22,8,5,4,0.0,5,1209.0,8,2253,2,575.0,5,344133
23,6,18,3,0.0,3,1168.0,6,1187,2,420.0,3,185000
24,5,55,55,0.0,3,1056.0,5,1056,1,572.0,3,145000
25,6,49,49,3.0,3,1453.0,6,1453,2,530.0,3,187500
26,5,45,1,0.0,3,894.0,5,894,1,336.0,3,138500
27,5,73,15,0.0,3,942.0,7,1938,2,240.0,4,198000
28,5,115,4,0.0,1,957.0,9,1991,2,0.0,3,119600
29,5,61,4,0.0,3,672.0,6,924,1,576.0,3,122900
30,8,29,29,0.0,3,2524.0,9,2524,2,542.0,4,278000
